Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Gender_Encoded,BMI_Category,Age_Group,Heart_Rate_Reserve,Calorie_Burn_Rate,Workout_Intensity,Recovery_Index,Member_Engagement,Body_Composition_Score
18,70.0,1.61,173,168,71,1.3,1201.0,23.9,2.5,2,1,27.01,1,2,0,102,916.7938931297709,0.9710421362926999,3.942254303164908,2,53.27
30,90.0,1.66,165,152,71,1.32,1104.0,26.6,2.1,4,2,32.66,1,3,1,94,830.0751879699247,0.9211562935579662,2.3658780406531155,8,66.06
30,101.0,1.68,182,134,61,1.46,1076.0,28.2,2.9,4,2,35.79,1,3,1,121,731.9727891156463,0.7362232844349212,2.0326557814061976,8,72.518
59,70.7,1.68,192,121,66,1.17,637.0,34.9,1.9,3,2,25.05,0,2,2,126,539.8305084745763,0.6301755116920994,1.1184544992374175,6,46.0257
33,81.8,1.99,184,137,51,1.59,1198.0,10.5,3.5,4,3,20.66,1,1,1,133,748.75,0.7445247540894517,1.5449863677673432,12,73.211
50,67.9,1.77,171,164,73,1.03,760.0,33.0,2.4,3,2,21.67,0,1,2,98,730.7692307692307,0.9590082451318637,1.4597080583883224,6,45.493
19,60.5,1.59,184,128,53,1.14,730.0,30.1,2.2,2,1,23.93,0,1,0,131,634.7826086956522,0.6956143687843053,2.788006312467122,2,42.289500000000004
42,72.9,1.62,175,139,67,1.17,732.0,25.7,2.0,4,2,27.78,0,2,1,108,620.3389830508474,0.7942403291240501,1.594858367055463,8,54.1647
21,61.3,1.57,191,152,64,1.94,1474.0,17.2,2.7,4,3,24.87,0,1,0,127,755.8974358974359,0.7957698549814146,3.046168491194669,12,50.7564
43,82.7,1.85,187,142,50,1.22,858.0,28.2,3.1,4,2,24.16,1,1,1,137,697.5609756097562,0.7593176835463344,1.162520344106022,8,59.3786
19,89.0,1.77,175,127,72,1.5,1048.0,28.9,3.7,4,2,28.41,1,2,0,103,694.0397350993377,0.7256728186960746,3.7874802735402415,8,63.279
42,70.2,1.87,188,165,65,1.38,1127.0,22.7,3.4,3,2,20.07,1,1,1,123,810.7913669064749,0.8776128929312271,1.5472506546060463,6,54.2646
37,72.9,1.76,192,121,52,1.21,732.0,27.5,1.9,3,2,23.53,0,1,1,140,600.0,0.6301755116920994,1.405025668738179,6,52.8525
43,40.5,1.74,187,143,51,1.5,965.0,32.9,2.2,3,2,13.38,0,0,1,136,639.0728476821192,0.7646649911769424,1.1857707509881423,6,27.175500000000003
53,82.3,1.61,196,123,60,1.87,1139.0,11.6,3.5,5,3,31.75,1,3,2,136,605.8510638297872,0.6275190041324422,1.1318619128466327,15,72.75319999999999
59,86.9,1.76,194,123,60,1.13,688.0,29.8,3.1,3,2,28.05,1,2,2,134,603.5087719298247,0.633987938766043,1.0167768174885612,6,61.0038
45,88.5,1.78,198,167,67,1.53,1265.0,13.2,3.5,4,3,27.93,1,2,1,131,821.4285714285714,0.8433917478915207,1.4885580982004,12,76.818
22,78.5,1.7,177,138,66,1.36,938.0,31.9,2.1,4,2,27.16,0,2,0,111,684.6715328467153,0.7796169707926106,2.998636983189459,8,53.4585
36,59.3,1.75,178,128,58,0.99,634.0,34.5,2.3,3,1,19.36,0,1,1,120,634.0,0.7190607269254536,1.6106637045265204,3,38.841499999999996
31,61.1,1.76,189,150,67,1.81,1358.0,18.6,2.7,4,3,19.72,0,1,1,122,746.1538461538461,0.7936088037669965,2.160593356981619,12,49.7354
35,63.7,1.74,198,143,71,1.03,810.0,29.8,2.7,4,2,21.04,1,1,1,127,778.8461538461538,0.7221857481945356,2.0279920022850617,8,44.7174
20,120.5,1.73,186,153,67,1.01,850.0,29.3,3.4,3,2,40.26,1,3,0,119,833.3333333333334,0.8225364227729692,3.348325837081459,6,85.19350000000001
52,72.3,1.94,171,121,56,1.46,874.0,21.1,2.9,3,2,19.21,1,1,2,115,594.5578231292517,0.7075609613472896,1.0767160161507403,6,57.04469999999999
28,71.3,1.67,192,140,63,1.46,1022.0,28.1,1.5,4,2,25.57,0,2,0,129,695.2380952380953,0.7291286912139993,2.2491967154587647,8,51.2647
23,56.7,1.55,179,132,73,1.38,911.0,34.0,1.9,4,2,23.6,0,1,0,106,655.3956834532374,0.7373889726830903,3.172533681008257,8,37.422
49,68.3,1.52,177,150,60,1.45,979.0,29.4,1.8,4,2,29.56,0,2,1,117,670.5479452054794,0.8474097508615333,1.224239951030402,8,48.21979999999999
20,71.3,1.69,167,163,52,1.28,1043.0,33.4,2.3,3,2,24.96,0,1,0,115,808.5271317829457,0.9759894617088798,2.598700649675162,6,47.4858
25,77.7,1.55,184,120,52,0.55,330.0,33.0,1.7,2,1,32.34,0,3,0,132,589.2857142857142,0.6521384707352862,2.0791683326669332,2,52.059
56,89.0,1.68,176,152,65,1.77,1332.0,10.5,3.5,5,3,31.53,1,3,2,111,748.314606741573,0.8635872961763537,1.160507052312087,15,79.655
50,87.4,1.6,182,122,67,0.77,465.0,23.2,3.1,2,1,34.14,1,3,2,115,596.1538461538462,0.6702928410526895,1.3397320535892823,2,67.12320000000001
58,49.7,1.67,191,125,72,1.38,776.0,31.9,2.3,4,2,17.82,0,0,2,119,558.2733812949641,0.6544159991623476,1.2411653163247716,8,33.84570000000001
39,85.3,1.89,163,140,61,0.77,593.0,27.6,3.6,2,1,23.88,1,1,1,102,760.2564102564103,0.8588430157659039,1.5637016149705205,2,61.7572
39,61.9,1.77,199,166,69,1.32,1205.0,25.3,2.3,3,1,19.76,1,1,1,130,906.0150375939849,0.8341289382443093,1.7687772366059986,3,46.2393
22,61.8,1.52,169,166,61,1.83,1519.0,17.0,2.7,5,3,26.75,0,2,0,108,825.5434782608695,0.9821904029347377,2.771467514766015,15,51.294
25,105.0,1.88,174,156,67,1.34,1150.0,21.4,2.3,3,2,29.71,1,2,0,107,851.8518518518518,0.8965002011378657,2.6789284286285486,6,82.53
47,61.0,1.76,162,153,54,1.54,1060.0,15.6,2.7,5,3,19.69,0,1,1,108,683.8709677419355,0.944386149003148,1.148691767708998,15,51.484
25,64.4,1.71,179,167,61,1.12,935.0,27.1,1.8,3,1,22.02,0,1,0,118,827.4336283185839,0.932908776046031,2.4390243902439024,3,46.9476
51,115.3,1.67,189,139,55,1.38,950.0,24.4,2.5,3,2,41.34,1,3,2,134,683.453237410072,0.7354108248240834,1.0782199568712019,6,87.1668
20,64.3,1.78,188,137,61,1.71,1171.0,18.7,2.7,4,3,20.29,0,1,0,127,680.8139534883721,0.7286846444338068,3.0484757621189402,12,52.27589999999999
52,84.8,1.85,189,152,50,1.19,895.0,23.4,3.2,2,1,24.78,1,1,2,139,745.8333333333334,0.8041902544838898,0.9613535858488752,2,64.9568
59,60.7,1.73,185,154,55,1.03,714.0,33.8,2.5,3,2,20.28,0,1,2,130,686.5384615384615,0.8323874385168369,0.9320454160311812,6,40.183400000000006
24,42.0,1.75,174,144,55,0.83,598.0,31.8,2.3,3,1,13.71,0,0,0,119,711.9047619047619,0.8275386472041837,2.2907122032486464,3,28.644
42,50.3,1.64,177,150,62,0.63,468.0,27.0,2.4,3,1,18.7,1,1,1,115,731.25,0.8474097508615333,1.475839085931921,3,36.718999999999994
34,64.3,1.62,174,145,62,1.76,1276.0,19.8,2.7,5,3,24.5,0,1,1,112,720.9039548022599,0.8332854433653238,1.822993237283152,15,51.5686
52,104.8,1.99,187,130,67,0.93,598.0,24.0,2.0,2,1,26.46,1,2,2,120,636.1702127659574,0.6951499919790386,1.288213805037493,2,79.648
29,68.0,1.7,190,150,60,0.76,627.0,28.9,2.9,2,1,23.53,1,1,0,130,814.2857142857142,0.7894321351507816,2.0682523267838677,2,48.348000000000006
53,55.8,1.55,171,141,54,1.12,711.0,27.0,1.8,4,2,23.23,0,1,2,117,629.2035398230088,0.8245131863633706,1.0186757215619695,8,40.733999999999995
32,78.6,1.62,195,125,69,1.28,880.0,29.6,3.1,3,1,29.95,1,2,1,126,682.1705426356589,0.6409927696015589,2.1555763823805063,3,55.334399999999995
49,46.5,1.72,169,120,72,1.4,832.0,22.2,2.6,4,2,15.72,1,0,1,97,590.0709219858156,0.7100171587480031,1.4690879412364823,8,36.177
41,64.9,1.57,166,123,53,1.04,576.0,25.9,2.4,4,2,26.33,0,2,1,113,548.5714285714286,0.7409192217336306,1.2923677151914168,8,48.090900000000005
18,87.6,1.93,161,139,72,1.72,1315.0,11.9,3.5,4,3,23.52,1,1,0,89,760.1156069364162,0.8633004161232222,3.9977790116601883,12,77.17559999999999
41,72.1,1.83,175,133,58,1.13,744.0,21.4,2.8,3,2,21.53,1,1,1,117,652.6315789473684,0.7599565739100623,1.4142891977566447,6,56.6706
26,125.5,1.76,176,163,66,1.15,1031.0,23.2,3.1,4,2,40.52,1,3,0,110,888.7931034482759,0.9260837452417476,2.5374855824682814,8,96.384
29,88.1,1.93,186,143,66,1.88,1479.0,11.1,3.5,5,3,23.65,1,1,0,120,782.5396825396825,0.768775872264932,2.2750775594622543,15,78.3209
28,128.4,1.86,173,158,71,1.06,921.0,23.6,3.3,4,2,37.11,1,3,0,102,860.7476635514018,0.9132420091324202,2.534808996786862,8,98.0976
48,83.9,1.82,176,149,70,1.9,1401.0,13.1,3.5,5,3,25.33,1,2,1,106,733.5078534031414,0.8465428100676098,1.4580295771714227,15,72.90910000000001
27,104.3,1.68,162,135,62,1.28,950.0,29.7,3.5,3,2,36.95,1,3,0,100,736.4341085271318,0.8332818961792482,2.2954461310625693,6,73.3229
28,121.7,1.94,185,127,52,1.03,719.0,28.9,2.6,4,2,32.34,1,3,0,133,691.3461538461538,0.6864493811145344,1.8564798286326312,8,86.52870000000001
42,42.7,1.74,161,130,71,1.04,608.0,32.9,1.6,3,1,14.1,0,0,1,90,579.047619047619,0.8074032668778337,1.6900737919542967,3,28.651700000000005
25,76.5,1.96,180,120,59,0.67,442.0,23.2,2.3,3,1,19.91,1,1,0,121,650.0,0.6666296316871285,2.3590563774490203,3,58.752
50,58.1,1.58,199,120,50,1.93,1042.0,19.3,2.7,5,3,23.27,0,1,2,149,537.1134020618557,0.6029847746344406,0.9998000399920016,15,46.8867
42,79.3,1.93,181,147,50,1.22,888.0,27.3,3.3,2,1,21.29,1,1,1,131,721.9512195121952,0.8121098281862881,1.19019281123542,2,57.6511
56,88.5,1.85,161,144,59,1.57,1119.0,11.0,3.5,4,3,25.86,1,2,2,102,708.2278481012657,0.8943543879262158,1.053383324406356,12,78.765
58,109.7,1.75,181,168,54,1.01,840.0,22.1,2.7,2,1,35.82,1,3,2,127,823.5294117647059,0.9281255179271863,0.9308739872435787,2,85.4563
57,96.3,1.86,168,146,74,1.1,795.0,27.6,2.2,3,2,27.84,1,2,2,94,716.2162162162161,0.8689958931016012,1.2980178915979652,6,69.7212
21,125.2,1.66,196,159,60,1.38,1207.0,29.8,3.4,3,2,45.43,1,3,0,136,868.3453237410073,0.8111831029029132,2.8557829604950022,6,87.8904
28,101.8,1.84,169,136,64,1.08,808.0,29.7,2.7,3,1,30.07,1,3,0,105,741.2844036697247,0.8046861132477369,2.2848982506247766,3,71.56540000000001
27,76.7,1.7,196,150,56,0.96,792.0,29.1,2.1,3,1,26.54,1,2,0,140,816.4948453608248,0.7652670782102954,2.073306182895224,3,54.3803
31,57.9,1.56,161,124,50,1.8,1116.0,15.1,2.7,5,3,23.79,0,1,1,111,616.5745856353591,0.7701385007142414,1.6123831022250885,15,49.1571
43,68.6,1.52,173,137,68,1.42,875.0,28.1,2.6,4,2,29.69,0,2,1,105,611.8881118881119,0.7918617420958326,1.5810276679841897,8,49.32339999999999
45,78.3,1.96,166,167,62,1.29,1066.0,29.0,2.2,3,1,20.38,1,1,1,104,820.0,1.0059634961749293,1.3774716729615641,3,55.592999999999996
39,59.7,1.83,170,154,59,1.35,1143.0,29.1,2.3,4,2,17.83,1,0,1,111,840.4411764705882,0.9058290688783013,1.512432709561651,8,42.3273
47,87.2,1.64,177,165,50,2.0,1634.0,15.0,3.5,4,3,32.42,1,3,1,127,812.9353233830847,0.9321507259476867,1.0636034886194428,12,74.12
59,89.4,1.62,198,125,59,1.43,885.0,23.5,3.6,3,2,34.06,1,3,2,139,614.5833333333334,0.6312812484217969,0.9998305371970853,6,68.391
32,85.3,1.64,178,123,69,1.77,1197.0,13.2,3.5,4,3,31.71,1,3,1,109,672.4719101123595,0.6909724172799281,2.1555763823805063,12,74.04039999999999
24,51.0,1.67,178,133,72,0.97,710.0,21.3,2.8,3,1,18.29,1,0,0,106,724.4897959183673,0.7471490365709792,2.99875052061641,3,40.137
24,58.9,1.51,187,157,68,1.04,816.0,31.7,2.5,2,1,25.83,0,2,0,119,777.1428571428571,0.8395272980054543,2.8321532694710534,2,40.2287
57,83.4,1.65,172,166,67,1.57,1290.0,13.3,3.5,4,3,30.63,1,3,2,105,816.4556962025316,0.9650601709202954,1.1752324153657254,12,72.3078
38,81.4,1.71,187,148,58,1.52,1237.0,10.2,3.5,5,3,27.84,1,2,1,129,808.4967320261438,0.7914015293299824,1.5259142330965536,15,73.0972
46,55.1,1.72,164,137,66,1.43,970.0,20.5,3.6,3,2,18.62,1,1,1,98,673.6111111111111,0.8353149198219622,1.4344707672245165,6,43.804500000000004
56,48.3,1.87,165,156,51,0.68,525.0,29.8,3.3,3,1,13.81,1,0,2,114,760.8695652173913,0.9453972486515969,0.9105516871987146,3,33.9066
31,66.6,1.67,184,137,71,1.02,699.0,31.0,1.5,4,2,23.88,0,1,1,113,678.6407766990291,0.7445247540894517,2.2895840051596257,8,45.95399999999999
25,57.8,1.56,170,156,66,1.35,1053.0,29.3,1.6,3,2,23.75,0,1,0,104,774.2647058823529,0.9175930827598378,2.6389444222311074,6,40.8646
27,106.4,1.86,182,123,50,1.34,907.0,20.6,3.1,2,1,30.76,1,3,0,132,671.8518518518518,0.6757870446678754,1.8511662347278786,2,84.48160000000001
50,70.4,1.55,160,143,58,0.73,470.0,29.9,2.7,2,1,29.3,0,2,2,102,635.1351351351351,0.8936941441159928,1.1597680463907218,2,49.35040000000001
56,50.6,1.7,175,146,58,1.29,848.0,33.1,2.3,2,1,17.51,0,0,2,117,652.3076923076923,0.8342380435403691,1.0355293697554009,2,33.851400000000005
27,76.5,1.97,180,165,61,1.13,1025.0,21.3,2.3,2,1,19.71,1,1,0,119,899.1228070175439,0.9166157435698017,2.258422806368012,2,60.2055
19,64.0,1.53,166,167,58,1.33,1111.0,29.8,2.3,3,2,27.34,0,2,0,108,829.1044776119403,1.0059634961749293,3.051025775907417,6,44.928
36,85.4,1.88,195,137,60,1.98,1492.0,13.5,3.5,5,3,24.16,1,1,1,135,749.748743718593,0.7025280754833085,1.6662038322688144,15,73.87100000000001
53,125.1,1.91,171,137,70,0.52,353.0,28.3,3.1,2,1,34.29,1,3,2,101,666.0377358490566,0.8011227413601544,1.3205055649877382,2,89.69669999999999
41,120.8,1.67,188,146,54,0.82,593.0,20.5,3.0,2,1,43.31,1,3,1,134,714.4578313253012,0.7765544385936919,1.3167520117044624,2,96.036
48,67.1,1.61,160,151,74,0.62,421.0,33.4,1.5,2,1,25.89,0,2,1,86,668.2539682539682,0.9436910193112931,1.5413455530097897,2,44.6886
22,50.7,1.59,197,139,66,1.27,883.0,29.4,1.8,3,2,20.05,0,1,0,131,689.84375,0.7055479417288463,2.998636983189459,6,35.794200000000004
47,84.8,1.86,187,129,63,1.85,1181.0,14.4,3.5,5,3,24.51,1,1,1,124,634.9462365591397,0.6898026843484306,1.3401403956604978,15,72.58879999999999
24,60.1,1.79,170,165,63,1.97,1625.0,15.9,2.7,4,3,18.76,0,1,0,107,820.7070707070707,0.9705311452267514,2.6239067055393583,12,50.5441
43,73.2,1.88,176,142,63,1.17,822.0,29.4,3.3,3,1,20.71,1,1,1,113,696.6101694915254,0.806772342480541,1.4647756335735875,3,51.6792
20,82.7,1.99,179,146,59,1.69,1357.0,14.6,3.5,5,3,20.88,1,1,0,120,798.2352941176471,0.8155968940282666,2.948525737131434,15,70.6258
45,73.0,1.75,184,148,50,1.14,759.0,26.6,2.0,4,2,23.84,0,1,1,134,660.0,0.804304113906853,1.1108642523883583,8,53.582
49,44.1,1.65,189,133,74,1.16,694.0,26.7,1.8,4,2,16.2,0,0,1,115,593.1623931623932,0.7036664726734035,1.5098959396041625,8,32.3253
39,64.3,1.69,190,148,58,1.25,925.0,26.9,1.9,4,2,22.51,0,1,1,132,734.1269841269841,0.7789063733487711,1.4867982568572162,8,47.0033
33,64.1,1.63,186,120,74,1.58,948.0,16.4,2.7,5,3,24.13,0,1,1,112,596.2264150943396,0.6451266060964465,2.2417449257800666,15,53.5876
45,84.9,1.86,186,136,66,1.64,1104.0,14.2,3.5,5,3,24.54,1,1,1,120,669.0909090909091,0.731143486909306,1.4663408131526328,15,72.8442
32,61.7,1.58,183,135,54,1.87,1262.0,16.6,2.7,5,3,24.72,0,1,1,129,671.2765957446808,0.7376646084913393,1.6869728209934396,15,51.4578
27,58.0,1.79,164,143,73,1.39,994.0,27.1,1.5,2,1,18.1,0,0,0,91,710.0,0.8718980549966466,2.7027027027027026,2,42.282
21,60.0,1.7,179,123,52,1.97,1212.0,19.1,2.7,5,3,20.76,0,1,0,127,612.1212121212121,0.6871124518183342,2.4750118990956684,15,48.54
21,101.2,1.84,181,132,50,1.3,944.0,24.3,3.3,2,1,29.89,1,2,0,131,720.6106870229007,0.7292414783713608,2.379819133745835,2,76.6084
52,44.1,1.62,179,121,61,1.41,768.0,34.8,1.6,3,1,16.8,0,0,2,118,540.8450704225353,0.6759398916261662,1.1728513747356277,3,28.753200000000003
31,86.9,1.69,185,130,65,1.72,1230.0,14.0,3.5,4,3,30.43,1,3,1,120,710.9826589595376,0.7026647208259014,2.0960980328926153,12,74.73400000000001
45,89.6,1.81,178,153,70,1.7,1287.0,12.4,3.5,5,3,27.35,1,2,1,108,752.6315789473684,0.8595022751530813,1.5552099533437014,15,78.4896
46,63.1,1.61,187,152,68,1.0,684.0,34.7,2.2,4,2,24.34,0,1,1,119,677.2277227722773,0.8127907598524143,1.4779395783525322,8,41.2043
56,93.6,1.66,177,151,52,1.37,1024.0,29.0,2.2,2,1,33.97,1,3,2,125,742.0289855072463,0.8530591492006102,0.9284056418496698,2,66.45599999999999
39,86.2,1.82,191,160,72,1.96,1725.0,10.2,3.5,5,3,26.02,1,2,1,119,875.6345177664974,0.8376524789278049,1.845680594719303,15,77.4076
49,85.0,1.68,197,163,74,1.82,1468.0,11.3,3.5,4,3,30.12,1,3,1,123,802.1857923497267,0.8273691690777119,1.5098959396041625,12,75.395
40,87.9,1.87,196,134,54,1.96,1445.0,10.7,3.5,5,3,25.14,1,2,1,142,733.502538071066,0.683638589867864,1.3496625843539116,15,78.49470000000001
48,94.5,1.7,189,140,64,1.01,700.0,28.2,3.5,3,2,32.7,1,3,1,125,686.2745098039215,0.74070155018253,1.3330556134138722,6,67.851
29,80.8,1.98,160,145,50,1.65,1316.0,14.6,3.5,5,3,20.61,1,1,0,110,792.7710843373494,0.9061933629148179,1.723543605653223,15,69.00319999999999
24,87.1,1.74,187,158,67,1.57,1364.0,10.0,3.5,4,3,28.77,1,2,0,120,863.2911392405063,0.8448746056360623,2.7905039566847147,12,78.39
30,62.9,1.92,170,127,70,1.13,789.0,25.2,3.6,2,1,17.06,1,0,1,100,692.1052631578948,0.7470148814775602,2.3325558147284235,2,47.0492
45,80.8,1.76,183,131,54,1.7,1102.0,11.4,3.5,4,3,26.08,1,2,1,129,644.4444444444445,0.7158078793508552,1.199733392579427,12,71.58879999999999
28,81.6,1.66,174,153,50,1.09,917.0,20.5,3.5,4,2,29.61,1,2,0,124,833.6363636363635,0.8792598126544452,1.7850767583006069,8,64.872
54,70.7,1.57,198,163,65,1.14,836.0,31.8,2.1,3,1,28.68,0,2,2,133,726.9565217391305,0.8231907479420232,1.2034808368820589,3,48.2174
33,40.5,1.63,181,147,66,1.07,786.0,31.9,1.5,4,2,15.24,0,0,1,115,727.7777777777777,0.8121098281862881,1.9993941229930325,8,27.5805
32,65.2,1.62,186,128,63,0.58,408.0,25.3,3.4,2,1,24.84,1,1,1,123,691.5254237288136,0.6881350465028763,1.9681349578256795,2,48.7044
29,106.5,1.81,177,156,60,1.29,1107.0,25.7,2.5,4,2,32.51,1,3,0,117,851.5384615384615,0.8813061408959946,2.0682523267838677,8,79.1295
20,75.9,1.73,165,152,63,1.39,1056.0,30.6,2.1,4,2,25.36,0,2,0,102,754.2857142857143,0.9211562935579662,3.1484257871064467,8,52.6746
43,58.2,1.61,179,124,54,1.04,580.0,26.4,2.6,3,2,22.45,0,1,1,125,552.3809523809524,0.6926987319144182,1.2555219716345036,6,42.8352
32,97.3,1.96,189,137,50,1.36,1025.0,24.9,3.4,3,2,25.33,1,2,1,139,748.1751824817518,0.7248293741071902,1.562011871290222,6,73.0723
41,94.1,1.62,172,139,50,1.13,777.0,23.4,3.1,4,2,35.86,1,3,1,122,681.5789473684212,0.8080925527585606,1.21921482565228,8,72.0806
33,117.0,1.61,166,130,55,1.04,744.0,25.1,2.4,3,2,45.14,1,3,1,111,708.5714285714286,0.7830853563038371,1.6661617691608603,6,87.633
50,69.7,1.72,198,135,66,1.24,753.0,27.3,2.0,4,2,23.56,0,1,2,132,602.4,0.6817837482955407,1.3197360527894422,8,50.6719
52,59.7,1.71,169,151,58,1.23,836.0,34.3,2.0,3,1,20.42,0,1,2,111,674.1935483870968,0.8934382580912372,1.1151701595846952,3,39.2229
43,66.3,1.77,177,157,57,1.48,1046.0,32.7,1.7,4,2,21.16,0,1,1,120,702.0134228187919,0.8869555392350715,1.325273192280865,8,44.6199
18,60.9,1.79,191,126,69,1.11,699.0,31.1,2.1,2,1,19.01,0,1,0,122,624.1071428571428,0.6596513271556463,3.8312048861743473,2,41.960100000000004
28,86.9,1.78,164,134,68,1.29,951.0,24.9,3.7,4,2,27.43,1,2,0,96,731.5384615384615,0.8170233522346199,2.427704391288825,8,65.26190000000001
52,64.9,1.51,164,165,68,1.83,1359.0,18.2,2.7,4,3,28.46,0,2,2,96,738.5869565217391,1.006036217303823,1.3074408767544703,12,53.08820000000001
48,129.2,1.61,193,167,62,1.06,876.0,21.4,2.9,4,2,49.84,1,3,1,131,818.6915887850466,0.8652401429977722,1.2913976254946886,8,101.5512
58,75.4,1.78,161,140,63,1.05,662.0,26.0,2.5,4,2,23.8,0,1,2,98,624.5283018867924,0.869511210483821,1.0860196517841751,8,55.79600000000001
38,123.3,1.62,161,165,65,1.34,1216.0,21.2,2.3,4,2,46.98,1,3,1,96,900.7407407407406,1.0247810694987889,1.7100762957116549,8,97.1604
36,57.3,1.64,164,157,70,1.13,887.0,25.3,1.8,4,2,21.3,0,1,1,94,778.0701754385966,0.957258703737577,1.9439044709802833,8,42.8031
41,71.2,1.64,165,147,54,1.42,939.0,30.9,2.3,3,2,26.47,0,2,1,111,656.6433566433567,0.8908550996909279,1.3167520117044624,6,49.199200000000005
34,68.0,1.68,169,128,57,0.67,472.0,25.8,3.4,2,1,24.09,1,1,1,112,694.1176470588235,0.75735163599787,1.675977653631285,2,50.456
